Name,AvatarID,DisplayName,Title,Teaching,SpecialAbilityName,SpecialAbilityDesc,MinConsciousnessLevel,Ray,Rarity,RegionName,QuestCount,TotalQuestXpReward
11,"(Value=""Arjuna"")","""Arjuna""","""Warrior Seeker""","""""""Duty beyond doubt"""" (Bhagavad Gita)""","""Gandiva Bow""","""Precision archery mini-game""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Epic"")","""Kurukshetra (Mahabharata Region)""",5,2500
12,"(Value=""MilanBhima"")","""Milan-Bhima""","""Strong Protector""","""""""Strength serves justice""""""","""Mace of Thunder""","""Area attack, crowd control""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Epic"")","""Hastinapura Palace""",0,0
13,"(Value=""ArtemVudce"")","""Artem-Vudce""","""Leader""","""""""Lead by example, not force""""""","""Rally Troops""","""Buff allies, inspire courage""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Rare"")","""ZION Council Chambers""",0,0
14,"(Value=""MamaYashoda"")","""Mama Yashoda""","""Divine Mother""","""""""Love without expectation""""""","""Maternal Blessing""","""Heal emotional wounds""","(Value=""Intuitional"")","(Value=""Pink"")","(Value=""Epic"")","""Vrindavan (Krishna's Village)""",5,2500
15,"(Value=""Vishwakarma"")","""Vishwakarma""","""Divine Architect""","""""""Creation follows divine mathematics""""""","""Sacred Geometry""","""Unlock Fibonacci puzzles, architecture secrets""","(Value=""Divine"")","(Value=""Yellow"")","(Value=""Epic"")","""EKAM Temple Construction Site""",5,2500
16,"(Value=""Radha"")","""Radha""","""Divine Beloved""","""""""Love transcends form""""""","""Rasa Lila""","""Dance of devotion (rhythm mini-game)""","(Value=""Spiritual"")","(Value=""Pink"")","(Value=""Epic"")","""Radha Kund (Sacred Lake)""",0,0
17,"(Value=""VyasaKamil"")","""Vyasa-Kamil""","""Cosmic Sage""","""""""History repeats until lesson is learned""""""","""Epic Memory""","""Recall all previous events, unlock lore""","(Value=""Unity"")","(Value=""Yellow"")","(Value=""Legendary"")","""Himalayan Cave (Vyasa's Retreat)""",5,2500
18,"(Value=""MeriamRose"")","""Meriam Rose""","""Mary Magdalene""","""""""True devotion sees beyond form""""""","""Rose of Sharon""","""Healing tears, compassion overflow""","(Value=""Spiritual"")","(Value=""Pink"")","(Value=""Epic"")","""Jerusalem Garden""",0,0
19,"(Value=""YeshuaSananda"")","""Yeshua Sananda""","""Jesus Christ""","""""""Love your enemies, forgive all""""""","""Resurrection Light""","""Second chances, revival mechanic""","(Value=""Divine"")","(Value=""Pink"")","(Value=""Legendary"")","""Mount of Olives""",5,2500
38,"(Value=""PannaMaria"")","""Panna Maria""","""Virgin Mary""","""""""Surrender to divine will""""""","""Miraculous Medal""","""Protection aura, healing springs""","(Value=""Cosmic"")","(Value=""Pink"")","(Value=""Epic"")","""Lourdes Grotto""",0,0
20,"(Value=""Tara"")","""Tara""","""Liberator""","""""""Swift compassion saves all beings""""""","""Green Tara Mantra""","""Speed boost, obstacle removal""","(Value=""Spiritual"")","(Value=""Green"")","(Value=""Epic"")","""Tibetan Monastery""",0,0
21,"(Value=""Avalokiteshvara"")","""Avalokiteshvara""","""Compassion Bodhisattva""","""""""Hear the cries of the world""""""","""Om Mani Padme Hum""","""Healing mantra power""","(Value=""Divine"")","(Value=""Pink"")","(Value=""Epic"")","""Potala Palace (Tibet)""",0,0
22,"(Value=""Vajrasattva"")","""Vajrasattva""","""Purification Master""","""""""Purify karma through mantra""""""","""Vajrasattva Mantra""","""Clear negative karma""","(Value=""Cosmic"")","(Value=""White"")","(Value=""Epic"")","""Mount Kailash""",0,0
51,"(Value=""DalaiLamaXIV"")","""Dalai Lama XIV""","""Tenzin Gyatso""","""""""Happiness comes from inner peace""""""","""Kalachakra Empowerment""","""Time manipulation (slow time)""","(Value=""Unity"")","(Value=""Yellow"")","(Value=""Legendary"")","""Dharamshala (India)""",0,0
29,"(Value=""ElMorya"")","""El Morya""","""Blue Ray Master""","""""""Align personal will with divine will""""""","""Ray of Power""","""Channel blue ray energy""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Epic"")","""Darjeeling Retreat (Himalayas)""",0,0
30,"(Value=""Lanto"")","""Lanto""","""Yellow Ray Master""","""""""Wisdom dispels ignorance""""""","""Flame of Illumination""","""Solve all puzzles faster""","(Value=""Cosmic"")","(Value=""Yellow"")","(Value=""Epic"")","""Royal Teton Retreat (Wyoming)""",0,0
31,"(Value=""PaultheVenetian"")","""Paul the Venetian""","""Pink Ray Master""","""""""Beauty reveals divine truth""""""","""Artistic Inspiration""","""Create beauty from chaos""","(Value=""Spiritual"")","(Value=""Pink"")","(Value=""Epic"")","""Château de Liberté (France)""",0,0
27,"(Value=""SerapisBey"")","""Serapis Bey""","""White Ray Master""","""""""Purity is the path to ascension""""""","""White Fire""","""Purify all corruption""","(Value=""Divine"")","(Value=""White"")","(Value=""Epic"")","""Luxor Temple (Egypt)""",0,0
32,"(Value=""Hilarion"")","""Hilarion""","""Green Ray Master""","""""""Truth alone liberates""""""","""Ray of Truth""","""Expose all lies, see hidden paths""","(Value=""Cosmic"")","(Value=""Green"")","(Value=""Epic"")","""Temple of Truth (Crete)""",0,0
33,"(Value=""LadyNada"")","""Lady Nada""","""Ruby-Gold Ray Master""","""""""Service is the highest calling""""""","""Healing Hands""","""Heal all wounds (physical + emotional)""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Epic"")","""Arabian Retreat (Saudi Arabia)""",0,0
26,"(Value=""SaintGermain"")","""Saint Germain""","""Violet Ray Master""","""""""Transmute karma through violet fire""""""","""Violet Flame""","""Transform challenges into growth""","(Value=""Divine"")","(Value=""Violet"")","(Value=""Legendary"")","""Transylvania Castle""",5,2500
28,"(Value=""SanatKumara"")","""Sanat Kumara""","""Lord of the World""","""""""I AM the guardian of Earth""""""","""Planetary Consciousness""","""See Earth as living being""","(Value=""Unity"")","(Value=""AllRays"")","(Value=""Legendary"")","""Shambhala (Hidden Dimension)""",0,0
24,"(Value=""MahavatarBabaji"")","""Mahavatar Babaji""","""Immortal Yogi""","""""""Body is temporary, consciousness eternal""""""","""Kriya Shakti""","""Materialize/dematerialize objects""","(Value=""Unity"")","(Value=""White"")","(Value=""Legendary"")","""Himalayan Cave (Hidden)""",0,0
25,"(Value=""LadyGaiaVywamus"")","""Lady Gaia-Vywamus""","""Earth Mother""","""""""Heal the planet, heal yourself""""""","""Gaia's Embrace""","""Environmental restoration""","(Value=""Divine"")","(Value=""Green"")","(Value=""Epic"")","""Sacred Groves (All Regions)""",0,0
23,"(Value=""KingArthur"")","""King Arthur""","""Once and Future King""","""""""True kingship is service""""""","""Excalibur""","""Sword of truth, cuts through illusion""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Epic"")","""Camelot (Reconstructed)""",0,0
35,"(Value=""KarelIV"")","""Karel IV""","""Holy Roman Emperor""","""""""Build bridges, not walls""""""","""Diplomatic Mastery""","""Resolve conflicts peacefully""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Rare"")","""Prague Castle""",0,0
36,"(Value=""AlbertEinstein"")","""Albert Einstein""","""Genius Scientist""","""""""Imagination > Knowledge""""""","""E=mc²""","""Convert energy/matter, physics puzzles""","(Value=""Divine"")","(Value=""Yellow"")","(Value=""Epic"")","""CERN (Science Temple)""",0,0
37,"(Value=""MahatmaGandhi"")","""Mahatma Gandhi""","""Peaceful Warrior""","""""""Be the change you seek""""""","""Satyagraha""","""Peaceful resistance, convert enemies""","(Value=""Divine"")","(Value=""Blue"")","(Value=""Epic"")","""Sabarmati Ashram (India)""",0,0
39,"(Value=""Subhadra"")","""Subhadra""","""Krishna's Sister""","""""""Family is sacred duty""""""","""Rakhi Bond""","""Create unbreakable alliances""","(Value=""Intuitional"")","(Value=""Pink"")","(Value=""Rare"")","""Dwarka Palace""",0,0
41,"(Value=""Vasudeva"")","""Vasudeva""","""Krishna's Father""","""""""Protect the divine within""""""","""Guardian's Oath""","""Defensive shield""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Rare"")","""Mathura Prison""",0,0
46,"(Value=""Neo"")","""Neo""","""The One""","""""""There is no spoon - reality is consciousness""""""","""Bullet Time""","""Slow time, see code of reality""","(Value=""Unity"")","(Value=""Violet"")","(Value=""Legendary"")","""ZION City (The Last Free City)""",5,2500
47,"(Value=""Trinity"")","""Trinity""","""The Believer""","""""""Belief makes reality""""""","""Operator Link""","""Remote access, hacking mini-game""","(Value=""Divine"")","(Value=""Pink"")","(Value=""Epic"")","""ZION City Hovercraft Dock""",0,0
48,"(Value=""Morpheus"")","""Morpheus""","""The Guide""","""""""Free your mind""""""","""Red Pill Vision""","""See truth behind illusions""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Epic"")","""Nebuchadnezzar Ship""",0,0
50,"(Value=""ZIONTheLastCity"")","""ZION The Last City""","""Collective Avatar""","""""""Together we are unbreakable""""""","""Collective Consciousness""","""Access wisdom of all citizens""","(Value=""Divine"")","(Value=""AllRays"")","(Value=""Legendary"")","""ZION City Underground""",0,0
42,"(Value=""SriDattatreya"")","""Sri Dattatreya""","""Trimurti Avatar""","""""""Creator, Preserver, Destroyer are ONE""""""","""Trimurti Powers""","""Create, sustain, transform""","(Value=""Unity"")","(Value=""AllRays"")","(Value=""Legendary"")","""Girnar Mountain (India)""",0,0
43,"(Value=""MalyPrinc"")","""Maly Princ""","""The Little Prince""","""""""One sees clearly only with the heart""""""","""Childlike Wonder""","""See hidden beauty""","(Value=""Intuitional"")","(Value=""Yellow"")","(Value=""Rare"")","""Asteroid B-612""",0,0
44,"(Value=""Hiranyagarbha"")","""Hiranyagarbha""","""Golden Egg/Cosmic Womb""","""""""Before creation, potential gestates""""""","""Cosmic Rebirth""","""Reset reality, new beginning""","(Value=""OnTheStar"")","(Value=""AllRays"")","(Value=""Rare"")","""EKAM Temple Core""",0,0
45,"(Value=""SriKalkiAvatar"")","""Sri Kalki Avatar""","""Future Warrior""","""""""Old age ends, Golden Age begins""""""","""Apocalypse Sword""","""Cut karma of entire ages""","(Value=""Unity"")","(Value=""Blue"")","(Value=""Legendary"")","""Shambhala (Future Vision)""",0,0
40,"(Value=""Elizabet"")","""Elizabet""","""Royal Healer""","""""""Rule with love, not fear""""""","""Royal Decree""","""Influence all NPCs""","(Value=""Spiritual"")","(Value=""Pink"")","(Value=""Rare"")","""Royal Court (ZION City)""",0,0
52,"(Value=""HekaSpaBlackElk"")","""Heȟáka Sápa (Black Elk)""","""Sacred Vision""","""""""What is sacred moves in a circle""""""","""Vision Quest** — personalized revelation after completing four journeys""","""""","(Value=""Intuitional"")","(Value=""AllRays"")","(Value=""Rare"")","""He Sapa (Black Hills)""",0,0
53,"(Value=""PtesWWhiteBuffaloCalfWoman"")","""Ptesáŋ Wíŋ (White Buffalo Calf Woman)""","""Sacred Law Giver""","""""""When Earth is sick, the nations will return""""""","""Sacred Pipe Blessing** — crisis encounter when HP low; transformation teaching""","""""","(Value=""Physical"")","(Value=""AllRays"")","(Value=""Rare"")","""Open Plains (non-fixed shrine)""",0,0
54,"(Value=""KkyangwtiSpiderGrandmother"")","""Kókyangwúti (Spider Grandmother)""","""Cosmic Weaver""","""""""Without weaving, no world stands""""""","""Weave Alliances** — links quests across regions; repairs faction splits""","""""","(Value=""Divine"")","(Value=""Yellow"")","(Value=""Legendary"")","""Third Mesa (Hotevilla)""",0,0
55,"(Value=""HunahpXbalanquHeroTwins"")","""Hunahpú & Xbalanqué (Hero Twins)""","""Xibalba Tricksters""","""""""Death is defeated by seeing pride as illusion""""""","""Gemstone Fall** — expose boss weakness (−50% atk debuff narrative)""","""""","(Value=""Mental"")","(Value=""Blue"")","(Value=""Legendary"")","""Xibalba (nine-layer dungeon)""",0,0
56,"(Value=""DonMariano"")","""Don Mariano""","""Q'ero Altomesayoq""","""""""Does your net hold people together? Pachamama sees.""""""","""Apu Call** — environmental aid vs. corporate-adharma bosses""","""""","(Value=""Intuitional"")","(Value=""White"")","(Value=""Epic"")","""Apu Ausangate""",0,0
57,"(Value=""DoaRosalaIxmukan"")","""Doña Rosalía Ixmukané""","""Chilam Balam Keeper""","""""""The trick is cooperation — two who touch hands and jump together""""""","""Summon Popol Spirit** — temporary ally from myth cast""","""""","(Value=""Physical"")","(Value=""Yellow"")","(Value=""Epic"")","""Chichicastenango""",0,0
58,"(Value=""BlPeroWhiteFeather"")","""Bílé Pero (White Feather)""","""Stone Tablet Guardian""","""""""No one knows the second half until it is shown""""""","""Pahana Sight** — political quest fork resolution""","""""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Rare"")","""Third Mesa (with Spider Grandmother lore overlap)""",0,0
59,"(Value=""OhnivOkaFireEyes"")","""Ohnivá Oka (Fire Eyes)""","""Rainbow Warrior Prophet""","""""""Those who remember and transmit are the key""""""","""Rainbow Warrior Buff** — XP + humanitarian tithe resonance when rules lived""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Epic"")","""Tanana Valley (Alaska narrative anchor)""",0,0
60,"(Value=""DaviKopenawa"")","""Davi Kopenawa""","""Yanomami Xapiri Speaker""","""""""Shamans hold the sky with songs; we are few, you are many""""""","""Dream Flip** — alternate physics dream-state quests""","""""","(Value=""Spiritual"")","(Value=""AllRays"")","(Value=""Epic"")","""Amazon jungle biom""",0,0
61,"(Value=""HeykaSacredClown"")","""Heyókȟa (Sacred Clown)""","""Thunder Vision Contrarian""","""""""Sacredness laughs — do not clutch visions too tight""""""","""Reverse Logic** — temporary buff/debuff inversion until player smiles""","""""","(Value=""Physical"")","(Value=""AllRays"")","(Value=""Legendary"")","""Wandering (appears when player takes self too seriously)""",0,0
62,"(Value=""Lilai"")","""Lā'ila'i""","""First Woman — Three Lineages""","""""""Mother of mortals, gods, and ocean beings — three roots, one breath""""""","""Lineage Tracing** — reveals player """"Kumulipo"""" transaction ancestry""","""""","(Value=""Mental"")","(Value=""AllRays"")","(Value=""Rare"")","""Boundary between Archive (genesis) and live chain""",0,0
63,"(Value=""Pele"")","""Pele""","""Volcano Creator""","""""""I create by destroying — that is not contradiction; it is the island""""""","""Volcanic Reset** — raid burns region → opens rebuild map layer""","""""","(Value=""Spiritual"")","(Value=""Violet"")","(Value=""Legendary"")","""Halemaʻumaʻu (Kīlauea)""",0,0
64,"(Value=""Hiiaka"")","""Hiʻiaka""","""Hula Goddess""","""""""I breathe dance into still bodies — music is revival technology""""""","""Dance Healing** — single-target ritual resurrection (timed animation)""","""""","(Value=""Physical"")","(Value=""Pink"")","(Value=""Epic"")","""Lehua forests near volcanic biom""",0,0
65,"(Value=""Kne"")","""Kāne""","""Creation — Abstract""","""""""Form cannot be given to the formless — see me in sun, water, breath""""""","""Genesis Presence** — map expansion events only; **no player control; no NFT (kapu)""","""""","(Value=""Divine"")","(Value=""Blue"")","(Value=""Rare"")","""Mauna Kea summit narrative (sacred; respect TMT / Mauna Kea reality)""",0,0
66,"(Value=""Kanaloa"")","""Kanaloa""","""Ocean / Mana Channel""","""""""I am not the source — I am the channel from Io through Kāne to you""""""","""Mana Flow** — redistributes party stamina/mana; decides flow (not controllable)""","""""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Legendary"")","""Open ocean / deep-sea biomes""",0,0
67,"(Value=""K"")","""Kū""","""Upright Strength / PoW Patron""","""""""When all fall, I remain upright — patience is my name""""""","""Endurance Blessing** — +50% endurance 24h after mining grind milestone""","""""","(Value=""Emotional"")","(Value=""Blue"")","(Value=""Epic"")","""Wao akua (forest of gods — high ahupuaʻa)""",0,0
68,"(Value=""Lono"")","""Lono""","""Makahiki / Abundance""","""""""Welcome me in Makahiki — I bring harvest. Lie to me — I depart""""""","""Makahiki Season** — PvP kapu window; humanitarian tithe bonus; community harvest events""","""""","(Value=""Physical"")","(Value=""Green"")","(Value=""Legendary"")","""Loʻi kalo / loko iʻa""",0,0
69,"(Value=""StarKumuLehua"")","""Stará Kumu Lehua""","""Storykeeper Composite""","""""""Sit. You hold the lehua. I speak.""""""","""Story Quest** — narrative-gated progression with comprehension gates""","""""","(Value=""Physical"")","(Value=""Yellow"")","(Value=""Epic"")","""Lava field between Volcano Park and Kalapana""",0,0
70,"(Value=""Hina"")","""Hina""","""Moon / Time / Kapa""","""""""I weave kapa on the Moon — at full moon, you see me""""""","""Lunar Cycle** — full moon +10% mining reward (lore-tied, balance TBD)""","""""","(Value=""Intuitional"")","(Value=""Pink"")","(Value=""Epic"")","""Moon (late-game travel)""",0,0
71,"(Value=""Maui"")","""Maui""","""Pan-Polynesian Trickster""","""""""I fished islands and snared the sun — what did you do for Earth today?""""""","""Trickster Win** — defeat stronger foe with wit, not force""","""""","(Value=""Physical"")","(Value=""Yellow"")","(Value=""Legendary"")","""Roaming all Pacific biomes""",0,0
72,"(Value=""Padmasambhava"")","""Padmasambhava""","""Guru Rinpoche""","""""""The treasure waits until the world is ready""""""","""Terma Discovery** — time-locked lore tied to chain timestamps; **Terma Keeper** role (gift, off-chain)""","""""","(Value=""Spiritual"")","(Value=""Violet"")","(Value=""Rare"")","""Treasure caves (procedural discovery windows)""",0,0
73,"(Value=""Milarepa"")","""Milarepa""","""Singing Yogī""","""""""Suffering accepted becomes song""""""","""Song of Realization** — debuff cleanse after moral choice (non-combat resolution)""","""""","(Value=""Intuitional"")","(Value=""Yellow"")","(Value=""Epic"")","""Himalayan hermitage / ice cave""",0,0
74,"(Value=""Tsongkhapa"")","""Tsongkhapa""","""Je Tsongkhapa — Gelug Founder""","""""""Clarify the teachings like gold refined by fire""""""","""Lamrim Focus** — XP wisdom track bonus for completed study chains""","""""","(Value=""Spiritual"")","(Value=""Yellow"")","(Value=""Epic"")","""Ganden / Gelug study hall (OASIS hub)""",0,0
75,"(Value=""Atia"")","""Atiśa""","""Dīpaṃkara Śrījñāna""","""""""Train where you are; the path is short if sincere""""""","""Bodhicitta Spark** — party-wide small compassion buff after kindness micro-quests""","""""","(Value=""Mental"")","(Value=""Yellow"")","(Value=""Rare"")","""Vikramashīla → Tibet road narrative""",0,0
76,"(Value=""MarpaLotsawa"")","""Marpa Lotsawa""","""Translator / Householder Master""","""""""Carry the dharma like a yak carries salt — steadily""""""","""Protocol Translation** — cross-faction dialogue unlocks""","""""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Epic"")","""Lhodrak (Kagyu narrative)""",0,0
77,"(Value=""MachikLabdrn"")","""Machik Labdrön""","""Chöd Foundress""","""""""Cut self-clinging; feed what hungers for truth""""""","""Ego-Fear Cut** — remove terror debuff in psychic / horror biome""","""""","(Value=""Cosmic"")","(Value=""Pink"")","(Value=""Legendary"")","""Zangri Kharmar (high plateau)""",0,0
78,"(Value=""Majur"")","""Mañjuśrī""","""Bodhisattva of Wisdom""","""""""See the nature of mind; confusion self-liberates""""""","""View-Cutter** — reveal hidden dialogue branches (truth / illusion)""","""""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Epic"")","""Wutaishan-inspired wisdom peak (OASIS)""",0,0
79,"(Value=""Samantabhadra"")","""Samantabhadra""","""Bodhisattva of All-Encompassing Practice""","""""""Practice without end; benefit beings without counting""""""","""Aspiration Field** — small stacking buff for consecutive humanitarian tithe actions""","""""","(Value=""Intuitional"")","(Value=""AllRays"")","(Value=""Legendary"")","""Lotus terrace at cosmos rim (symbolic)""",0,0
80,"(Value=""MedicineBuddha"")","""Medicine Buddha""","""Bhaiṣajyaguru""","""""""Heal the root, not only the symptom""""""","""Lapis Healing Surge** — raid-wide regen buffer (PvE support)""","""""","(Value=""Mental"")","(Value=""Blue"")","(Value=""Epic"")","""Eastern lapis realm (visual meditation hall)""",0,0
81,"(Value=""LongchenRabjam"")","""Longchen Rabjam""","""Longchenpa — Dzogchen Master""","""""""Rest without fabrication; clarity is self-arising""""""","""Natural State Reset** — clear mental clutter debuffs (meditation mini-game)""","""""","(Value=""Divine"")","(Value=""White"")","(Value=""Rare"")","""Kham / central hermitage library""",0,0
82,"(Value=""Shiva"")","""Shiva""","""Mahadev — Destruction–Renewal Axis""","""""""What dissolves falsely reveals what cannot""""""","""Tandava Pivot** — short window: negate one failed validation / retry lore branch (PvE ritual slot)""","""""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Legendary"")","""Mount Kailash — Kailasha biome (snow + inner cave mandala gate)""",0,0
83,"(Value=""Parvati"")","""Parvati""","""Uma — Queen of Harmony""","""""""Strength that serves relationship with the Whole""""""","""Śaktī Bond** — link two allied players' buff durations in co-op ritual""","""""","(Value=""Intuitional"")","(Value=""Pink"")","(Value=""Epic"")","""Himalayan terrace gardens & inner shrine""",0,0
84,"(Value=""Ganesha"")","""Ganesha""","""Vinayaka — Remover of Obstacles""","""""""Clear the stump before planting the sapling""""""","""Vighna Clear** — one-time unblock on stuck quest prerequisite (cooldown-heavy)""","""""","(Value=""Physical"")","(Value=""Yellow"")","(Value=""Epic"")","""Threshold shrines across OASIS map nodes""",0,0
85,"(Value=""Lakshmi"")","""Lakshmi""","""Śri — Śrī Lakṣmī""","""""""Wealth rests where dharma gathers""""""","""Śrī Flow** — small humanitarian tithe synergy buff when player donates threshold""","""""","(Value=""Mental"")","(Value=""Pink"")","(Value=""Epic"")","""Śrī Rangam–style lotus treasury (ethical wealth hall)""",0,0
86,"(Value=""Durga"")","""Durga""","""Ambā — Demon-Slayer Narrative Boss""","""""""Courage clears what love cannot coax""""""","""Lion Vanguard** — short party-wide guard vs. cosmic fear debuffs""","""""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Legendary"")","""Highlands autumn festival biome (nine-night arc — **respect**, not caricature Navarātri)""",0,0
87,"(Value=""Kali"")","""Kali""","""Mahākālī — Time & Liberation""","""""""The Mother devours postponement — not souls""""""","""Ego Dissolution Tick** — reduce pride-based debuff stacking in PvPvE arenas""","""""","(Value=""Divine"")","(Value=""Violet"")","(Value=""Rare"")","""Śmaśān-inspired **ethical** lore zone — no mock crematory tourism""",0,0
88,"(Value=""Kartikeya"")","""Kartikeya""","""Skanda/Muruga — Vigorous Dharma Commander""","""""""Discipline rallies many voices into one order""""""","""Ṣaṇmukha Vanguard** — buff squad formation minigames""","""""","(Value=""Intuitional"")","(Value=""Blue"")","(Value=""Epic"")","""Coastal hill shrine (six faces symbol — geometric, not mocking)""",0,0
89,"(Value=""Surya"")","""Surya""","""Āditya — Cosmic Rhythm""","""""""Light repeats so truth can be recalled""""""","""Udaya Dawn** — small honest-work bonus starting session after restorative offline window""","""""","(Value=""Emotional"")","(Value=""White"")","(Value=""Rare"")","""Udoyanchal (east terrace / dawn observatory biome)""",0,0
90,"(Value=""Indra"")","""Indra""","""Śakradev — Sovereign Storm & Order Challenge""","""""""Power without listening becomes lightning with no rod""""""","""Vajra Interdict** — interrupt one enemy channel spell in raid (ethical use flag)""","""""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Epic"")","""Amarāvatī skyline (ethical storm court — not mocking Vedic hymns)""",0,0
91,"(Value=""Ganga"")","""Ganga""","""River Goddess""","""""""Water carries away poison when we stop adding it""""""","""Purifying Current** — cleanse map tile debuffs (toxic wasteland events)""","""""","(Value=""Mental"")","(Value=""Blue"")","(Value=""Epic"")","""Gaṅgā Ghāṭ (composite sacred riverfront in OASIS)""",0,0
92,"(Value=""Amaterasu"")","""Amaterasu""","""Solar Kami Sovereign""","""""","""Hi-no-Kokoro Shine · **CL:** 5–9 · **NFT:** Legendary (review)""","""""","(Value=""Physical"")","(Value=""White"")","(Value=""Rare"")","""""",0,0
93,"(Value=""Susanoo"")","""Susanoo""","""Storm Cleanser""","""""","""Storm Ledger Purge · **CL:** 6–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
94,"(Value=""Tsukuyomi"")","""Tsukuyomi""","""Lunar Discrimination""","""""","""Waning Review · **CL:** 4–8 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
95,"(Value=""Inari"")","""Inari""","""Rice & Threshold Kami""","""""","""Torii Path Buff · **CL:** 2–7 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Green"")","(Value=""Rare"")","""""",0,0
96,"(Value=""kuninushi"")","""Ōkuninushi""","""Hospitable Land Lord""","""""","""Kuni Transfer Bless · **CL:** 3–8 · **NFT:** Rare""","""""","(Value=""Physical"")","(Value=""Pink"")","(Value=""Rare"")","""""",0,0
97,"(Value=""Izanami"")","""Izanami""","""Yomi Threshold Steward""","""""","""Yomi Checkpoint · **CL:** 6–9 · **NFT:** Mythic (strict review)""","""""","(Value=""Physical"")","(Value=""Violet"")","(Value=""Rare"")","""""",0,0
98,"(Value=""Hachiman"")","""Hachiman""","""Protective Archer Sovereign""","""""","""Hachiman Bastion · **CL:** 4–9 · **NFT:** Epic""","""""","(Value=""Physical"")","(Value=""Blue"")","(Value=""Rare"")","""""",0,0
